,ORDER_NO,PRODUCT_CODE,ORDER_TYPE,TRANSFER_TYPE,MAIN_SOURCE,TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_DATE,PENDING_TRANSACTION_TYPE,average_days,NEXT_TRXN_DATE_FORECAST
812,2024-4-642   ,2Q0199555BN,Acil,Kamyon,VOLKSWAGEN A.G.,532871849.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-08,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-02-08
813,2024-10-629  ,5WA121251D,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,1.6666666666666667,2024-03-11
814,2024-6-528   ,5WA713033CC,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-08,Faturalandırıldı,13.0,2024-03-11
815,2024-5-502   ,7C0853666  9B9,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-29,Faturalandırıldı,7.0,2024-02-15
816,2024-8-573   ,7LA807183A,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-23,Faturalandırıldı,3.3333333333333335,2024-03-02
817,2024-10-515  ,7LA807183A,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,3.3333333333333335,2024-03-15
818,2024-9-526   ,83A121286H,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,5.333333333333333,2024-03-19
819,2024-4-548   ,8R0825201C,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-26,Faturalandırıldı,6.0,2024-02-10
820,2024-9-645   ,8W0821135C,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-05,Fatura Antrepo girişi,4.5,2024-03-16
821,2024-9-528   ,V03839037KH,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,6.25,2024-03-16
822,2024-9-519   ,057903133AJ,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,4.0,2024-03-16
823,2024-9-543   ,059103158P,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,5.0,2024-03-13
824,2024-10-510  ,2Q0501545H,Stok,Kamyon,VOLKSWAGEN A.G.,536094247.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.0,2024-03-18
825,2024-10-543  ,5G4857705  RAA,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,4.5,2024-03-19
826,2024-8-575   ,N  10640301,Stok,Kamyon,VOLKSWAGEN A.G.,536250329.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-18,DS Depo Kabul - Yerleştirme Alanına,0.14285714285714285,2024-03-18
827,2024-8-575   ,N  10640301,Stok,Kamyon,VOLKSWAGEN A.G.,536250329.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-18,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,0.0,2024-03-18
828,2024-8-17    ,1792375,Stok,Kamyon,SCANIA CV AB,1.0000000000,Sipariş,2024-02-20,Faturalandırıldı,8.0,2024-03-11
829,2024-7-23    ,1792375,Stok,Kamyon,SCANIA CV AB,1.0000000000,Sipariş,2024-02-13,Faturalandırıldı,8.0,2024-03-04
830,2024-6-15    ,2680451,Stok,Kamyon,SCANIA CV AB,1.0000000000,Sipariş,2024-02-05,Faturalandırıldı,17.0,2024-03-18
831,2024-9-17    ,3005428,Stok,Kamyon,SCANIA CV AB,536093814.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.0,2024-03-18
832,2024-2-770   ,06F103213N,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-01-12,Fatura Antrepo girişi,1.0,2024-01-14
833,2024-10-539  ,1J0972483,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,4.0,2024-03-18
834,2024-2-770   ,2G0919397  GRU,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-01-12,Fatura Antrepo girişi,1.0,2024-01-14
835,2024-3-16    ,3G0959752BCDTB,Anahtar,Express Uçak,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-18,Faturalandırıldı,3.3333333333333335,2024-01-26
836,2024-9-545   ,5C6877364  82V,Stok,Kamyon,VOLKSWAGEN A.G.,536094227.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.0,2024-03-18
837,2024-9-544   ,5N0831055B,Stok,Kamyon,VOLKSWAGEN A.G.,536094285.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,0.5,2024-03-16
838,2024-11-635  ,5WA919051A,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,1.6666666666666667,2024-03-18
839,2024-10-547  ,7C0945105,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,4.666666666666667,2024-03-19
840,2024-10-547  ,7E0945105E,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,4.0,2024-03-18
841,2024-11-637  ,G  052910M4,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,2.0,2024-03-19
842,2024-9-535   ,2GA845011AFNVB,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,7.0,2024-03-18
843,2024-9-543   ,2K0864583AT71N,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,4.4,2024-03-17
844,2024-9-543   ,2K0864583AT71N,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Gönderildi,0.0,2024-03-06
845,2024-11-733  ,5H0805915K 9B9,Çok Acil,Express Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-11,Faturalandırıldı,3.0,2024-03-18
846,2024-10-795  ,6C0853651  RYP,Çok Acil,Express Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-12,Fatura Antrepo girişi,3.0,2024-03-19
847,2024-10-510  ,7N0831402D,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-04,Faturalandırıldı,6.0,2024-03-19
848,2024-6-528   ,WHT005437A,Stok,Kamyon,VOLKSWAGEN A.G.,535184232.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-06,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-03-08
849,2024-6-528   ,WHT005437A,Stok,Kamyon,VOLKSWAGEN A.G.,535184232.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-06,Beyanname ile Antrepo çıkışı,0.0,2024-03-06
850,2024-5-543   ,WHT005437A,Stok,Kamyon,VOLKSWAGEN A.G.,535068363.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-05,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-03-07
851,2024-5-543   ,WHT005437A,Stok,Kamyon,VOLKSWAGEN A.G.,535068363.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-05,Beyanname ile Antrepo çıkışı,0.0,2024-03-05
852,2024-6-39    ,2609156,Stok,Kamyon,SCANIA CV AB,1.0000000000,Sipariş,2024-02-06,Faturalandırıldı,12.5,2024-03-08
853,2024-10-307  ,575857537D GRU,Acil,Kamyon,SEAT,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,3.0,2024-03-14
854,2024-11-303  ,575857537D GRU,Acil,Kamyon,SEAT,1.0000000000,Sipariş,2024-03-11,Faturalandırıldı,3.0,2024-03-18
855,2024-2-770   ,059130309CT,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-01-12,Fatura Antrepo girişi,1.0,2024-01-14
856,2024-10-546  ,2GA807109F,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,4.5,2024-03-19
857,2024-8-536   ,2GA821136,Stok,Kamyon,VOLKSWAGEN A.G.,536236909.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.0,2024-03-18
858,2024-11-616  ,2GS845011BNNVB,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-12,Faturalandırıldı,2.5,2024-03-18
859,2024-3-534   ,2Q0199555BN,Stok,Kamyon,VOLKSWAGEN A.G.,532874228.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-08,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-02-08
860,2024-3-601   ,5NA854731E 9B9,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-15,Faturalandırıldı,10.0,2024-02-09
861,2024-1-607   ,5NA854731E 9B9,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-02,Faturalandırıldı,10.0,2024-01-27
862,2024-8-654   ,5NA854731E 9B9,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-23,Faturalandırıldı,10.0,2024-03-19
863,2024-11-640  ,7H0615424A,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,1.0,2024-03-16
