,ORDER_NO,PRODUCT_CODE,ORDER_TYPE,TRANSFER_TYPE,MAIN_SOURCE,TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_DATE,PENDING_TRANSACTION_TYPE,average_days,NEXT_TRXN_DATE_FORECAST
0,2024-3-525   ,2H7853309D,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-19,Faturalandırıldı,10.5,2024-02-14
1,2024-8-532   ,3G0827469JGFOD,Stok,Kamyon,VOLKSWAGEN A.G.,536237005.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.0,2024-03-18
2,2024-11-621  ,5H0941699D,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-12,Faturalandırıldı,1.0,2024-03-14
3,2024-10-629  ,5JA955425,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,2.0,2024-03-12
4,2024-9-532   ,7E0827025AK,Stok,Kamyon,VOLKSWAGEN A.G.,536094294.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.0,2024-03-18
5,2024-2-531   ,G  055025A2,Stok,Kamyon,VOLKSWAGEN A.G.,532435452.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-02,DS Depo Kabul - Yerleştirme Alanına,4.0,2024-02-12
6,2024-8-575   ,N  10623701,Stok,Kamyon,VOLKSWAGEN A.G.,536236792.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.42857142857142855,2024-03-19
7,2024-3-37    ,2175721,Stok,Kamyon,SCANIA CV AB,535457053.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-08,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-03-10
8,2024-4-17    ,2175721,Stok,Kamyon,SCANIA CV AB,535480420.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-08,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-03-11
9,2024-9-501   ,5F0035397,Stok,Kamyon,SEAT,1.0000000000,Sipariş,2024-02-26,Faturalandırıldı,9.0,2024-03-19
10,2024-7-302   ,5F0941701D,Acil,Kamyon,SEAT,1.0000000000,Sipariş,2024-02-12,Faturalandırıldı,9.0,2024-03-05
11,2024-11-14   ,5FG061500  041,Çok Acil,Express Uçak,SEAT,1.0000000000,Sipariş,2024-03-13,Faturalandırıldı,2.6,2024-03-19
12,2024-9-535   ,04E145933AL,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-12,Fatura Antrepo girişi,1.6,2024-03-16
13,2024-9-535   ,04E145933AL,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-12,Gönderildi,0.0,2024-03-12
14,2024-3-831   ,04L121026AF,Çok Acil,Express Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-02-06,Fatura Antrepo girişi,6.0,2024-02-21
15,2024-11-648  ,04L260849AB,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-15,Faturalandırıldı,1.0,2024-03-17
16,2024-9-755   ,2HJ901100,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-28,Faturalandırıldı,6.5,2024-03-15
17,2024-9-538   ,2K5951221A,Stok,Kamyon,VOLKSWAGEN A.G.,536094064.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.6666666666666667,2024-03-19
18,2024-5-845   ,2Q1423510BQ,Çok Acil,Express Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-02-06,Fatura Antrepo girişi,3.0,2024-02-13
19,2024-11-654  ,5C6810971D,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-15,Faturalandırıldı,1.0,2024-03-17
20,2024-6-644   ,6C0945095K,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-08,Faturalandırıldı,3.0,2024-02-15
21,2024-7-677   ,6C0945095K,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-16,Faturalandırıldı,3.0,2024-02-23
22,2024-11-637  ,8U0955609,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,2.25,2024-03-19
23,2024-11-8    ,5FA807962  9DG,Çok Acil,Express Uçak,SEAT,1.0000000000,Sipariş,2024-03-12,Faturalandırıldı,3.0,2024-03-19
24,2024-10-525  ,03H133237B,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,3.0,2024-03-14
25,2024-9-538   ,04E906262BE,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-08,Fatura Antrepo girişi,4.75,2024-03-19
26,2024-8-555   ,1K0253141H,Stok,Kamyon,VOLKSWAGEN A.G.,536236911.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.5,2024-03-19
27,2024-10-629  ,2Q0411315C,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,3.0,2024-03-14
28,2024-8-574   ,4K0413333B,Stok,Kamyon,VOLKSWAGEN A.G.,536236702.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.5,2024-03-19
29,2024-8-616   ,5H0853677F 9B9,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-19,Faturalandırıldı,4.0,2024-02-29
30,2024-11-635  ,5H0857521D,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,2.0,2024-03-19
31,2024-10-518  ,5WA698451G,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,4.4,2024-03-18
32,2024-9-636   ,6R0810971C,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-05,Fatura Antrepo girişi,5.666666666666667,2024-03-19
33,2024-8-573   ,7H1843796H 01A,Stok,Kamyon,VOLKSWAGEN A.G.,536251013.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-18,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-03-18
34,2024-8-573   ,7M0012119,Stok,Kamyon,VOLKSWAGEN A.G.,536257590.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-18,DS Depo Kabul - Yerleştirme Alanına,0.3333333333333333,2024-03-19
35,2024-11-787  ,059109467BB,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,2.0,2024-03-19
36,2024-11-766  ,059121053J,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-13,Faturalandırıldı,0.5,2024-03-14
37,2024-10-546  ,3G0887233C 82V,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,2.0,2024-03-13
38,2024-10-525  ,3Q0121093AE,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,2.0,2024-03-12
39,2024-2-517   ,4G0941043K,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-11,Faturalandırıldı,10.0,2024-02-05
40,2024-9-526   ,4G1905217A,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-29,Faturalandırıldı,7.0,2024-03-17
41,2024-9-536   ,5N0947291C Y20,Stok,Kamyon,VOLKSWAGEN A.G.,536094083.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.0,2024-03-18
42,2024-10-629  ,5Q0129954H,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,1.5,2024-03-10
43,2024-7-675   ,5WB423051AR,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-16,Faturalandırıldı,4.0,2024-02-26
44,2024-11-635  ,6R0121207L,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,1.0,2024-03-16
45,2024-11-638  ,6R0413031BR,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,1.0,2024-03-16
46,2024-9-519   ,8K0837249D,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-29,Faturalandırıldı,6.0,2024-03-15
47,2024-9-526   ,8W0807521M RU6,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,5.0,2024-03-18
48,2024-8-662   ,8W5880742G,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-23,Faturalandırıldı,1.0,2024-02-25
49,2024-11-635  ,N  0138115,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,2.0,2024-03-19
50,2024-10-505  ,WHT003860A,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-04,Faturalandırıldı,4.5,2024-03-15
51,2024-5-60    ,1873016,Stok,Kamyon,SCANIA CV AB,536093820.0000000000,Fatura Antrepo girişi,2024-03-15,Fatura Antrepo girişi,1.0,2024-03-18
52,2024-5-60    ,1873016,Stok,Kamyon,SCANIA CV AB,536093820.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.4444444444444444,2024-03-19
53,2024-6-32    ,1873016,Stok,Kamyon,SCANIA CV AB,536093820.0000000000,Fatura Antrepo girişi,2024-03-15,Fatura Antrepo girişi,1.0,2024-03-18
54,2024-6-32    ,1873016,Stok,Kamyon,SCANIA CV AB,536093820.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.4444444444444444,2024-03-19
55,2024-3-7     ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,Fatura Antrepo girişi,2.0,2024-02-21
56,2024-3-7     ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-02-19
57,2024-3-7     ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,Fatura Antrepo girişi,2.0,2024-02-21
58,2024-3-7     ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-02-19
59,2024-6-15    ,2655854,Stok,Kamyon,SCANIA CV AB,534935150.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-02,Fatura Antrepo girişi,2.0,2024-03-07
60,2024-6-15    ,2655854,Stok,Kamyon,SCANIA CV AB,534935150.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-02,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-03-04
61,2024-4-53    ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,Fatura Antrepo girişi,2.0,2024-02-21
62,2024-4-53    ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-02-19
63,2024-4-53    ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,Fatura Antrepo girişi,2.0,2024-02-21
64,2024-4-53    ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-02-19
65,2024-4-5     ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,Fatura Antrepo girişi,2.0,2024-02-21
66,2024-4-5     ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-02-19
67,2024-4-5     ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,Fatura Antrepo girişi,2.0,2024-02-21
68,2024-4-5     ,2655854,Stok,Kamyon,SCANIA CV AB,533582276.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-16,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-02-19
69,2024-5-501   ,1P0823301,Stok,Kamyon,SEAT,1.0000000000,Sipariş,2024-01-29,Faturalandırıldı,10.0,2024-02-23
70,2024-9-501   ,575919486H,Stok,Kamyon,SEAT,1.0000000000,Sipariş,2024-02-26,Faturalandırıldı,9.0,2024-03-19
71,2024-9-303   ,576941773,Acil,Kamyon,SEAT,3.0000000000,Gönderildi,2024-03-13,Gönderildi,0.0,2024-03-13
72,2024-11-304  ,576941773,Acil,Kamyon,SEAT,3.0000000000,Gönderildi,2024-03-13,Gönderildi,0.0,2024-03-13
73,2024-11-304  ,576941773,Acil,Kamyon,SEAT,3.0000000000,Gönderildi,2024-03-13,Gönderildi,0.0,2024-03-13
74,2024-11-304  ,576941773,Acil,Kamyon,SEAT,3.0000000000,Gönderildi,2024-03-13,Gönderildi,0.0,2024-03-13
75,2024-2-501   ,6F0845011BCNVB,Stok,Kamyon,SEAT,1.0000000000,Sipariş,2024-01-08,Faturalandırıldı,18.5,2024-02-23
76,2024-11-635  ,0AM325025M Z0X,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,1.1666666666666667,2024-03-16
77,2024-10-505  ,1K1611301E,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-04,Faturalandırıldı,6.0,2024-03-19
78,2024-11-38   ,2G6959752BEAIF,Anahtar,Express Uçak,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-15,Faturalandırıldı,1.0,2024-03-17
79,2024-11-11   ,2G6959752BEAIF,Anahtar,Express Uçak,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-12,Faturalandırıldı,1.0,2024-03-14
80,2024-9-542   ,2GM806929E,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,4.0,2024-03-16
81,2024-10-624  ,2H0845202B,Acil,Kamyon,VOLKSWAGEN A.G.,536094142.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.0,2024-03-18
82,2024-9-543   ,2HJ945308G,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,4.0,2024-03-11
83,2024-10-515  ,2HJ945308G,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,4.0,2024-03-17
84,2024-10-741  ,8V5810284,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,1.0,2024-03-08
85,2024-5-531   ,G  052186A2,Stok,Kamyon,VOLKSWAGEN A.G.,534384566.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-26,DS Depo Kabul - Yerleştirme Alanına,1.6,2024-03-01
86,2024-8-563   ,N  91254301,Stok,Kamyon,VOLKSWAGEN A.G.,536246062.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-18,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-03-18
87,2024-10-546  ,WHT002223,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,2.0,2024-03-13
88,2024-9-19    ,2080688,Stok,Kamyon,SCANIA CV AB,1.0000000000,Sipariş,2024-02-27,Faturalandırıldı,3.0,2024-03-05
89,2024-6-39    ,2707037,Stok,Kamyon,SCANIA CV AB,1.0000000000,Sipariş,2024-02-06,Faturalandırıldı,8.5,2024-02-27
90,2024-10-629  ,05L103044AH,Acil,Kamyon,VOLKSWAGEN A.G.,536094104.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,0.5,2024-03-16
91,2024-8-555   ,07C133588G,Stok,Kamyon,VOLKSWAGEN A.G.,536236830.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.5,2024-03-19
92,2024-8-555   ,1K0498201N,Stok,Kamyon,VOLKSWAGEN A.G.,536236729.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.5,2024-03-19
93,2024-10-525  ,3B0955875,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,5.0,2024-03-19
94,2024-9-532   ,3G0941120B,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,4.0,2024-03-16
95,2024-8-518   ,5H0805593,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-19,Faturalandırıldı,3.0,2024-02-26
96,2024-9-532   ,5H0805593,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,3.0,2024-03-08
97,2024-8-573   ,5Q0035507K 5FQ,Stok,Kamyon,VOLKSWAGEN A.G.,536248460.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-18,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-03-18
98,2024-10-510  ,5Q0129684E,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-04,Faturalandırıldı,1.0,2024-03-06
99,2024-10-525  ,5Q0129684E,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,1.0,2024-03-09
100,2024-9-544   ,5WA122101T,Stok,Kamyon,VOLKSWAGEN A.G.,536094286.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,0.0,2024-03-15
101,2024-10-545  ,6Q0121619,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,4.0,2024-03-18
102,2024-10-629  ,6R0498203,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,3.0,2024-03-14
103,2024-8-657   ,80A945069D,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-23,Faturalandırıldı,2.0,2024-02-28
104,2024-9-526   ,8K0512131K,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-29,Faturalandırıldı,7.5,2024-03-18
105,2024-6-513   ,ASE45600300000,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-07,Faturalandırıldı,7.0,2024-02-24
106,2024-7-640   ,G  052738A4,Acil,Kamyon,VOLKSWAGEN A.G.,534386207.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-26,DS Depo Kabul - Potansiyel Fazla Depo Alanına,0.0,2024-02-26
107,2024-7-640   ,G  052738A4,Acil,Kamyon,VOLKSWAGEN A.G.,534386207.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-26,DS Depo Kabul - Yerleştirme Alanına,3.0,2024-03-05
108,2024-5-532   ,G  060567A2,Stok,Kamyon,VOLKSWAGEN A.G.,534118418.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-22,DS Depo Kabul - Yerleştirme Alanına,2.5,2024-02-28
109,2024-3-20    ,2917366,Acil,Acil Kamyon,SCANIA CV AB,533026085.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-09,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-02-09
110,2024-8-555   ,03P103151,Stok,Kamyon,VOLKSWAGEN A.G.,536239465.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-18,DS Depo Kabul - Yerleştirme Alanına,0.16666666666666666,2024-03-19
111,2024-9-645   ,04E109423C,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-05,Fatura Antrepo girişi,5.0,2024-03-17
112,2024-9-535   ,04L260849AB,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,6.0,2024-03-16
113,2024-10-633  ,4M0819439B,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Fatura Antrepo girişi,3.5,2024-03-19
114,2024-10-633  ,4M0819439B,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Gönderildi,0.0,2024-03-11
115,2024-10-633  ,4M0819439B,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Fatura Antrepo girişi,3.5,2024-03-19
116,2024-10-633  ,4M0819439B,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Gönderildi,0.0,2024-03-11
117,2024-10-633  ,4M0819439B,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Fatura Antrepo girişi,3.5,2024-03-19
118,2024-10-633  ,4M0819439B,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Gönderildi,0.0,2024-03-11
119,2024-10-633  ,4M0819439B,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Fatura Antrepo girişi,3.5,2024-03-19
120,2024-10-633  ,4M0819439B,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Gönderildi,0.0,2024-03-11
121,2024-8-536   ,5C6807248H,Stok,Kamyon,VOLKSWAGEN A.G.,536236841.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.0,2024-03-18
122,2024-11-513  ,5N0955110  GRU,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-12,Faturalandırıldı,2.5,2024-03-18
123,2024-10-629  ,5WA407256,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Fatura Antrepo girişi,3.4,2024-03-19
124,2024-10-629  ,5WA407256,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Gönderildi,0.0,2024-03-11
125,2024-10-629  ,5WA407256,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Fatura Antrepo girişi,3.4,2024-03-19
126,2024-10-629  ,5WA407256,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Gönderildi,0.0,2024-03-11
127,2024-3-831   ,83A807683C 9B9,Çok Acil,Express Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-02-06,Fatura Antrepo girişi,5.5,2024-02-19
128,2024-9-538   ,8K0820511D,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,5.5,2024-03-14
129,2024-10-741  ,8R0199381AH,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,1.0,2024-03-08
130,2024-8-574   ,03C145757A,Stok,Kamyon,VOLKSWAGEN A.G.,536265393.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-18,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-03-18
131,2024-11-783  ,06E105701R GLB,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,1.0,2024-03-16
132,2024-10-539  ,2K0827511  9B9,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,3.0,2024-03-15
133,2024-11-766  ,5H0877045A,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-13,Faturalandırıldı,2.0,2024-03-18
134,2024-10-538  ,5Q0413023CP,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-08,Faturalandırıldı,3.0,2024-03-15
135,2024-9-536   ,5R3907361,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,6.0,2024-03-16
136,2024-10-511  ,6C0853665A 9B9,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-08,Fatura Antrepo girişi,4.0,2024-03-18
137,2024-11-783  ,6Q0837885A,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,2.0,2024-03-19
138,2024-11-635  ,6V0819465B,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,1.0,2024-03-16
139,2024-3-537   ,7E0819403A 9B9,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-19,Faturalandırıldı,8.0,2024-02-08
140,2024-4-536   ,7E0819403A 9B9,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-26,Faturalandırıldı,8.0,2024-02-15
141,2024-11-635  ,7H0127401F,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,1.5,2024-03-17
142,2024-11-645  ,8V0823531A,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-15,Faturalandırıldı,1.0,2024-03-17
143,2024-7-3     ,575881805GAXFS,Çok Acil,Express Uçak,SEAT,533809316.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-20,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-02-20
144,2024-6-7     ,575881805GAXFS,Çok Acil,Express Uçak,SEAT,533810226.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-20,DS Depo Kabul - Yerleştirme Alanına,0.0,2024-02-20
145,2024-9-543   ,03L131547M,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-01,Faturalandırıldı,6.2,2024-03-16
146,2024-8-654   ,2HJ805846C,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-23,Faturalandırıldı,1.0,2024-02-25
147,2024-11-620  ,575837431P 5AP,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-12,Faturalandırıldı,1.0,2024-03-14
148,2024-9-545   ,5C6837652,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,5.0,2024-03-18
149,2024-11-611  ,5H6827025D,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-13,Gönderildi,0.0,2024-03-13
